Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000117410,ATP6V0B,Gene Expression,0.24743459602341872,0.0,0.0,84551,12.89444237893306,6080
ENSG00000146409,SLC18B1,Gene Expression,0.24741556698312492,0.0,0.0,28635,4.407604735201427,5719
ENSG00000198932,GPRASP1,Gene Expression,0.2473639426994023,0.0,0.0,43621,6.750790983543486,5890
ENSG00000172716,SLFN11,Gene Expression,0.24717177318073208,0.0,0.0,3363,0.7952885837442407,2319
ENSG00000185432,METTL7A,Gene Expression,0.2470512102199567,0.0,0.0,9428,1.8709139560340198,4462
ENSG00000134460,IL2RA,Gene Expression,0.24700878635080195,0.0,0.0,727,0.19534596146449432,567
ENSG00000100842,EFS,Gene Expression,0.24683967076214794,0.0,0.0,1242,0.3434490936482566,1030
ENSG00000184983,NDUFA6,Gene Expression,0.24683331978953588,0.0,0.0,27769,4.202275085411173,5695
ENSG00000240694,PNMA2,Gene Expression,0.24682434011368293,0.0,0.0,26009,3.993133080427917,5654
ENSG00000134250,NOTCH2,Gene Expression,0.24659571474394923,0.0,0.0,6604,1.3719615067356128,3744
ENSG00000155052,CNTNAP5,Gene Expression,0.2462460605199977,0.0,0.0,14638,2.228259725071579,5043
